llave_estudiante,nombre_estudiante,apellido_paterno,apellido_materno,genero,edad,llave_generacion
70,JORGE AUGUSTO,TOVILLA,OCAA,H,23,6
71,SERGIO EDGAR,ELEUTERIO,OZAETA,H,19,7
72,HECTOR AUGUSTO,LEGASPY,SEBOA,H,19,9
73,AMALIO,MATADAMAS,ELISERIO,H,18,3
74,JUAN HORACIO,BONILLAS,SOMOHANO,H,22,2
75,GLORIA AURORA,ZUBIRI,NEGRIN,M,19,11
76,JAVIER ENRIQUE,BRICEO,PAYAN,H,21,9
77,FRANCISCO RICARDO,FERRUSQUIA,JIMNEZ,H,19,10
78,MARTIN EDUARDO,PLATAS,CHICUATE,H,20,8
79,XOCHITL ALEJANDRA,COPCA,LAGUNAS,M,18,2
80,GRISEL,ZACARIAZ,ESCOTO,M,21,1
81,ALEJANDRO RAFAEL,AGRAZ,TLETLEPANTZI,H,23,7
82,HECTOR MANUE,VERDEJA,APOLINAR,H,19,4
83,JORGE ALBE,ZUNIGA,,H,18,5
84,ORALIA,SAEB,BAOS,M,19,10
85,DEYSI,GUERRA,URBINA,M,21,10
86,PEDRO FLORENCIO,EXCELENTE,VIRRUETA,H,20,2
87,SANDRA RUTH,MOTOLINIA,LEAL,M,19,9
88,LEOPOLDO ALBERTO,SALES,AUREOLES,H,21,4
89,GRISELL,PABLO,PESTAA,M,22,10
90,FLORENTIN,ESCARCEGA,,H,20,9
91,MARIA DE LOS A,CHINAS,,M,20,2
92,SANJUANA GUADALUPE,ATAYDE,,M,21,5
93,MARIA ELIDE,TABLADA,GERON,M,20,6
94,ERIK ALBERTO,AVENDAO,PAULINO,H,21,5
95,JOSE ROGELIO,AZANZA,ARGUELLES,H,15,11
96,DIANA NALLELY,ALQUISIRA,NOTARIO,M,23,10
97,FELIZARDO,BERTRAND,CHANEZ,H,18,3
98,PERLA ALEJANDRA,YEE,MAXIMIANO,M,17,5
99,MELANIE,SALASAR,SILVAN,M,21,7
100,DIANA GRISELDA,GRACIAN,,M,18,3
101,YESENIA BERENICE,DURAND,,M,17,6
102,OLIVIA ELIZABETH,ANDUJO,CRISTINA,M,18,10
103,JUAN RIGOBERTO,ZARAGOZA,CADENGO,H,21,1
104,ELIEL,ALMAZAN,,H,19,6
105,CESAR RODRIGO,CARERA,,H,16,6
106,GUADALUPE,BASORIA,AGUEROS,M,21,9
107,MARIO ANTONIO,AMECA,NABOR,H,23,11
108,OSCAR XAVIER,LIO,,H,22,11
109,NORMA ESTHER,ALTAMIRANO,,M,19,11
110,EDGAR FERNANDO,LIEVANA,TLAPA,H,19,4
111,FRANCISCO DE JESUS,COLORES,PANI,H,20,2
112,MIRIAM DEL SOCORRO,LARRONDO,,M,20,10
113,JAIME HUMBERTO,ARAN,POOT,H,17,5
114,JESUS MANU,HUICOZA,TOBIAS,H,23,8
115,LUIS ARTURO,SALDIERNA,CARDOZA,H,23,9
116,URBANO,ZITLE,CALDINO,H,22,10
117,CESAR ALONSO,QUISTIAN,,H,20,2
118,ASENCION,PARDENILLA,TREVILLA,H,20,4
119,MA RAFAELA,MOLINARI,COAHUILA,M,20,5
120,MARCOS OMAR,CUIN,QUINTAL,H,17,1
121,CRISTINA DEL CARMEN,CHIM,ANLEHU,M,20,9
122,ANAKAREN,MANGA,MOSSO,M,19,6
123,ZOILA ESPERANZA,MAXIMIANO,PLANTILLAS,M,19,10
124,GERARDO MARTIN,LEGASPE,,H,24,5
125,HECTOR EDUARDO,DEL MORAL,VERONICO,H,19,7
126,CLARA,SIMUTA,BURQUEZ,M,23,9
127,YEIMY,ESTARRON,SERNA,M,18,7
128,LILIANA GUADALUPE,ARTIAGA,,M,24,3
129,DORA EVELIA,YELADAQUI,,M,19,7
130,OLIVIO,GAUCIN,CHAC,H,19,2
131,CRISTINA LORENA,BARNET,PANALES,M,19,11
132,RAUL ALFREDO,DAYER,SALDAA,H,19,1
133,KARLA MARIELA,SANTES,MAYORGA,M,15,11
134,TONY,LLANO,ROUSSELL,H,22,1
135,FELICITA,CHAVARRIETA,,M,21,5
136,MARIA SAN JUANA,ISIORDIA,GALLEGO,M,20,10
137,MARTHA ITZEL,CHAPA,TRIANA,M,17,4
138,EMMA OLIVIA,LAGUNEZ,IBARGUEN,M,20,9
139,SERGIO JUAN,GODET,,H,21,4
140,EMMA ALICIA,PAZ,VILLASANA,M,22,4
141,ADRIANA ELENA,XX,,M,19,4
142,LILIANA ROCIO,DE LA CERDA,,M,20,6
143,OMAR,ARIZMENDI,,H,18,9
144,ADRIAN GERARDO,VERANO,,H,15,3
145,ALI,MALO,OLAGUEZ,H,20,8
146,TLALOC,ARMIDA,PETATAN,H,17,9
147,LUIS ANTONIO,VIZCAYA,ARRILLAGA,H,20,2
148,RENE ALBERTO,RUACHO,,H,19,9
149,MARIA,LEE,BARJAU,M,19,3
150,CLAUDIA MARTINA,GERON,ZUIGA,M,17,4
151,MARIA ERENDIRA,URANGA,BRENIS,M,18,10
152,RAMON ERNESTO,PITOL,QUILANTAN,H,18,9
153,JOSE EMILIO,LEGARIA,,H,15,4
154,PATRICIA ISELA,DUBLAN,ANDREZ,M,21,4
155,ROBERT,LABANA,BISOSO,H,20,4
156,HUMBERTO DANIEL,REMIGIO,,H,21,9
157,JOSE MARINO,ANAYA,,H,17,3
158,MARIA VENTURA,BALMACEDA,MENDIOLA,M,23,6
159,FRANCISCO AARON,MUIZ,MACUIL,H,19,4
160,JUAN LEOPOLDO,OCTAVO,REYNA,H,18,10
161,OLIVIA DEL CARMEN,DE PAZ,BOLAOS,M,22,11
162,MA NATIVIDAD,VARELAS,LABANA,M,18,4
163,PABLO ALFREDO,ASIS,CALLETANO,H,23,10
164,SAUL OMAR,FLANDEZ,MOZON,H,19,8
165,JULIO HECTOR,IRIBE,,H,21,7
166,FRANCISCO JAVIE,PICASSO,JUANCHI,H,21,1
167,FELIPE DE JES,PEQUEO,,H,21,5
168,NAHU,VERANO,ESCOFFIE,H,16,1
169,WILLIAM JESUS,ACEDO,DESACHY,H,20,6
170,MERCEDES CECILIA,NAKATURO,PINACHO,M,22,11
171,SABINO,OLIVERAS,TIENDA,H,20,7
172,SANDRA ELISA,VILLANUEVA,VENEROSO,M,20,3
173,EDGAR RAFAEL,AHUACATITLA,URIOSTEGUI,H,20,5
174,JOSE LUIS,CUACUA,GAVARAIN,H,24,5
175,RUBEN ARMANDO,OLIVOS,CUADROS,H,20,10
176,IVAN RENE,NU?EZ,ARREAGA,H,18,11
177,FRANCISCO JAVI,TEJA,ZAPO,H,21,6
178,MARIO SEBASTIAN,REVELES,PUNTOS,H,18,10
179,VIDAL,PATIO,CONCHA,H,19,1
180,HECTOR HUGO,REVILLAS,XEQUEB,H,19,8
181,ROBERTO ALONSO,SUNZA,LESCAS,H,17,4
182,JUAN BOSCO,LECHUGA,RUANOVA,H,21,9
183,GICELA,LETECHIPIA,Y MAY,M,16,6
184,JASMIN,JIMENEZ,MELGAR,M,21,11
185,CARITINA,PATLANI,ADAILE,M,20,3
186,LUIZ,NUEZ,,H,16,1
187,LORENZO JAVIER,ALFONSO,,H,22,7
188,ARACELI GUADALUPE,CANTORAN,BARRETERO,M,23,10
189,JOSE REYNALDO,DE FELIPE,ROSS,H,19,3
190,MAYRA ANGELICA,PALMEROS,SOLABAC,M,19,4
191,ANGEL ALEJANDRO,COLIS,,H,22,2
192,SALVADOR ALEJANDRO,AMOR,NAMORADO,H,20,2
193,TANIA ELIZABETH,VERDIN,URCID,M,21,4
194,CRISTABEL,PALENCIA,,M,18,7
195,GERARDO ESTEBAN,POLVADERA,BARCELATA,H,23,5
196,ZULEYKA,MAGAA,,M,20,2
197,IVAN ALEJANDRO,MICHIMANI,RUISECO,H,17,5
198,HUGO ARTURO,PAQUINI,MALAGON,H,19,3
199,FEDERICO JOSE,LAGUNAS,LLOVERA,H,22,7
200,ALMA ESTHER,WALDO,MILPAS,M,23,6
201,SANTIAGO DE JESUS,BIU,SOLTERO,H,19,2
202,ALEXI,GASTELU,REVOREDA,H,19,8
203,EVELIA GUADALUPE,SORROSA,DILLANES,M,20,1
204,RAMIRO ANTONIO,SECUNDINO,Y HERNANDEZ,H,21,5
205,HOMERO,MONTEJO,ESPINOBARROS,H,21,10
206,MARCELA MARIA,CAAMAR,,M,22,4
207,JULIA,MANCISIDOR,NIC,M,19,9
208,JOSE FERMIN,ZAYAGO,AUYON,H,20,9
209,LESLIE,DIANA,,M,18,5
210,KARINA LIZETTE,IBAEZ,,M,22,11
211,SANDRA MARISOL,ALVIS,RUESGA,M,19,10
212,IRVING,BARBABOSA,BIZARRO,H,20,8
213,ONDINA,DE CASO,LIBREROS,M,20,11
214,ANTERO,GARITA,DUEAS,H,19,3
215,ERIKA GEORGINA,POZAS,OLASCUAGA,M,17,5
216,BRENDA CATALINA,SANTILLANO,PAVIA,M,22,1
217,FAUSTINO,TORRES,AUDELO,H,18,9
218,ARTEMIA,TRUEBA,POLITO,M,20,2
219,GLORIA ROCIO,VALVERIO,PERUSQUIA,M,17,7
220,MARIA BRIGIDA,HERAS,PACIO,M,19,1
221,RUTH VERONICA,ARTEAGA,COYOHUA,M,21,7
222,ELEODORO,POLA,BONIFACIO,H,19,11
223,JAVIER,CHIN,NERI,H,17,11
224,RAUL ERNESTO,MAPEL,MARTIL,H,19,5
225,CRUZ ENRIQUE,CETZ,,H,20,10
226,LUIS VLADIMIR,LPEZ,NAVA,H,18,4
227,RONEY,ALMERAYA,CUMPLIDO,H,21,11
228,JORGE ABRAHAM,ALIAS,SECUNDINO,H,22,7
229,PATRICIA IMELDA,COUDER,,M,19,1
230,MA. SOCORRO,MAQUEDA,SEDEO,M,20,5
231,LAURA,NARANJO,NARANJO,M,24,2
232,ALMA PATRICIA,MULLER,NERY,M,22,2
233,BALBINO,SESMA,TEPETITLA,H,22,11
234,PRIMO,MESTIZA,YESCAS,H,19,10
235,J EDUARDO,FREYRE,CATZIM,H,14,8
236,GIOVANY,TRAMPE,,H,21,5
237,REGULO,SANTISBON,MARCHANTE,H,23,10
238,OMAR EDEL,CAMPAS,,H,18,7
239,HERMENEGILDO,MIAN,ZAPIEN,H,23,11
240,ANA CITLALLI,ECHANOVE,OLAIZ,M,17,10
241,AMIN,MADERO,TERRONES,H,18,5
242,MA. CRUZ,CUBEDO,,M,20,7
243,CARLOS CUAUHTEMOC,MILLER,,H,19,11
244,JORGE ALONSO,SIERRA,ICO,H,18,9
245,JACKELIN,SANDRIA,ALLIER,M,20,3
246,MIRIAM AIDE,VENEROSO,,M,19,2
247,OSCAR SAMUEL,Y CRUZ,FOMPEROSA,H,22,9
248,SETH,BALBAS,COBA,H,17,11
249,OFELIA GUADALUPE,FERRETIZ,PASTENES,M,22,5
250,ANTONIO JAVIER,OJENDIZ,SAINEZ,H,18,9
251,OFELIA MARGARITA,ACACIO,,M,18,3
252,MA SAGRARIO,HORNEDO,,M,16,2
253,OSIRIS,LAVENANT,BADAL,M,22,11
254,GILBERTO ANTONIO,AYUB,TAVIZON,H,21,6
255,JULITA,BARILLAS,ZI,M,21,3
256,EMA,UREA,VILLALOVOS,M,21,5
257,MARGARITA CONCEPCION,COLMENARES,GUMECINDO,M,20,11
258,GERALDO,TOSCA,ZAMBADA,H,20,4
259,ROSARIO MARISOL,CAMARENA,PATRACA,M,23,11
260,NORA ADRIANA,XOLOT,SEPULVEDA,M,21,4
261,LUIS FIDEL,TORRES,DE LA TEJA,H,21,3
262,QUINTILIANO,ESPEJEL,,H,22,8
263,J. JESUS,ARVAYO,,H,21,3
264,ADDY,MARCELINA,ARCHULETA,M,22,1
265,MA OBDULIA,RAMONES,,M,14,7
266,BLANCA ESPERANZA,CUAMANI,PROMOTOR,M,22,7
267,REYNA LEONOR,ALAYON,CHULIM,M,18,4
268,ANGEL RICARDO,CHUC,TRANI,H,23,10
269,EDWIN IVAN,CHAPULI,ALBAIL,H,20,10
270,ERIKA DEL CARMEN,CUESY,OCURA,M,19,8
271,SERGIO AUGUSTO,PICON,,H,22,3
272,GABRIELA ADRIANA,CHUNG,CALVILLO,M,20,8
273,ALDO ERNESTO,GUATEMALA,SEVERIANO,H,23,7
274,ALMA ROSALIA,RAUDALES,CANDELERO,M,22,6
275,CRISTOPHER,EZQUEDA,,H,19,10
276,MARIA FRANCISC,MONTERO,APARICIO,M,20,4
277,MIREYA ALICIA,ELORRIAGA,,M,22,8
278,OMAR JESUS,VITELA,ASTIVIA,H,21,8
279,JOEL GUSTAVO,ELENA,,H,14,8
280,LUZ ANGELICA,EZQUIVEL,MENDIA,M,17,7
281,JUAN RICARDO,GORDIAN,DE LA PENA,H,18,10
282,JOSE APOLINAR,LARGO,PEA,H,16,8
283,JOSE SAMUEL,CARPENA,,H,17,10
284,NEREA,FOX,,M,19,1
285,BRENDA ZULEMA,KU,VILLAL,M,21,2
286,RAFAEL SALVADOR,ALFONSIN,TOVILLA,H,21,5
287,PLACIDO,QUINTIN,LEPEZ,H,17,6
288,HECTOR FABIAN,ORDUNO,,H,20,6
289,SERGIO NOE,AMPARAN,,H,18,3
290,MARCOS JAVIER,FAVELA,ELENO,H,22,9
291,VIVIANA GUADALUPE,FACUNDO,,M,19,3
292,ALBERTO,CALDERA,,H,21,8
293,ANTONIO ABAD,LARRAURI,TOBIAS,H,21,8
294,EMILIO ANTONIO,ACHACH,RIVAS,H,21,1
295,KRISTAL,ENCINOS,BARAHONA,M,21,4
296,GRACIELA DEL ROSARIO,ATONAL,JAYME,M,21,9
297,VICTOR MARIO,ALEJANDRE,LEGASPI,H,18,11
298,MARIA CARIDAD,CARRISOZA,MERLIN,M,21,10
299,EMMA CECILIA,GRANIEL,CHON,M,18,4
300,ALBERTO MIGUEL,BRIZO,,H,20,11
301,CECILIA DEL CARMEN,DESSENS,,M,23,4
302,ANDRES ANTONIO,BARROSA,,H,24,4
303,MARTHA PAULINA,EZQUIVEL,PERRUSQUIA,M,20,10
304,GPE,REBELES,ZURITA,M,21,2
305,JAVIER OMAR,VALDEOLIVAR,SANTA MARIA,H,21,1
306,GABRIEL MANUEL,BRICENO,,H,19,7
307,ELVIA LAURA,BOVIO,MONTAO,M,20,9
308,MIGUEL ANGEL,BAILEY,BASALDUA,H,20,1
309,ANGEL ROMAN,PLATERO,ARTALEJO,H,21,10
310,SAUL FERNANDO,MARAVER,,H,19,2
311,LIDIA BEATRIZ,AGREDA,HOYOS,M,23,7
312,KARINA LIZETH,CASAUX,SERAFIN,M,22,1
313,CONCEPCION DEL CARMEN,XALPA,LIRA,M,15,5
314,MAYRA JANETH,MORFIN,FRADE,M,19,3
315,MARTHA IRMA,MARTIGNON,CARABANTES,M,20,11
316,MARIA DE LA PAZ,COMPEAN,GRAMAJO,M,20,8
317,LAURA BERTHA,LINARTE,DIEGUEZ,M,19,5
318,YSIDRO,MARTO,PORRAZ,H,22,6
319,JUAN RENE,POOL,SANTA,H,22,11
320,GABRIELA LETICIA,Y GONZALEZ,LICONA,M,19,5
321,CARMEN GEORGINA,COCON,,M,20,3
322,ILEANA PATRICIA,LICONA,GUISA,M,22,2
323,ROBERTO ISRAEL,TLECUITL,ZUBIETA,H,21,1
324,MARIA MARGA,CASTELL,,M,22,7
325,HUGO DANIEL,CAVERO,EVANS,H,20,2
326,NEMIAS,SAGASTUME,MORO,H,19,6
327,GILBERTO,LAVIN,OLAY,H,24,3
328,GETSEMANI,ESPINOBARROS,Y SALAZAR,M,20,8
329,IRVING JESUS,MARQUINA,PEA,H,19,10
330,ARISBETH,SALINAS,DEL LLANO,M,18,2
331,EMMA LETICIA,MAJATA,,M,22,11
332,CITLALLI,ANGELES,NICIO,M,20,11
333,JOSE ROGELIO,CUESTAS,TENIENTE,H,23,1
334,ANA KAREM,CULEBRO,,M,23,2
335,PATRICIA IVONE,DE NOVA,CALVARIO,M,21,6
336,ROSA DE GUADALUPE,CORELLA,ARONTES,M,19,3
337,JOSE DELFINO,ARVIZU,POUDA,H,21,4
338,CARMEN RUTH,BAQUEIRO,FRUCTUOSO,M,19,2
339,MERCEDES GABRIELA,SANTOY,TECUAPETLA,M,22,2
340,RAMIRO ANTONIO,NAH,TRETO,H,20,4
341,PAOLA GABRIELA,MACEGOZA,DE LA PUENTE,M,21,5
342,ERICK MANUEL,LEZMA,GOYCOCHEA,H,19,8
343,MIRIAM AZUCENA,SALORIO,DUEAS,M,21,3
344,MARIA BENITA,GACHUZ,,M,18,1
345,JOSE FIDENCIO,CASSIO,,H,20,1
346,JOSE MIGUEL,CORNEJO,CORVERA,H,21,1
347,MARIA GORETTY,MODESTO,NOLAZCO,M,19,11
348,MARGARITA DEL SOCORRO,DEHARA,MANI,M,22,10
349,FERNANDO IVAN,RANGEL,SIMONS,H,22,6
350,ISRRAEL,ASIS,TURIJAN,H,21,11
351,FRUMENCIO,SESEA,PUC,H,22,1
352,NOELI,VELELA,,M,23,11
353,JONATHAN ALEJANDRO,LUVIAN,GALLAGA,H,15,8
354,CESAR MAURICIO,NEAVES,MEJIA,H,19,1
355,CLAUDIA,BARON,CRIVELLI,H,21,5
356,DORA BEATRIZ,CUAUTLI,,M,22,7
357,REYNA ISAB,ZAMBRANO,CLARO,M,22,2
358,CAMILA,ENCINOS,,M,22,3
359,SERGIO CESAR,SEQUEDA,MAZUCA,H,17,3
360,MA DEL RO,CHONTAL,ERRASQUIN,M,21,10
361,MARTIN ALBERTO,KANTUN,NUNGARAY,H,18,2
362,CRUZ ANTONIA,ESTRELLO,CORCHADO,M,20,1
363,OSCAR ARIEL,DAYER,TEMELO,H,17,11
364,MA DOLORES,VALERIO,PUERTO,M,20,1
365,MAYRA ITZEL,IIGO,SUMUANO,M,24,2
366,RONY,CHUNG,NAZARIEGA,H,23,6
367,LEA,EQUIHUA,MAYREN,M,20,11
368,JUAN DOMINGO,ESCOLASTICO,AMADO,H,20,5
369,VICTOR ULISES,BESARES,CABRAL,H,17,9
370,LEONIDES,CIRA,NOVOA,M,22,2
371,JAIME EVERARDO,CUJ,CACHON,H,24,10
372,NICASIO,VERDUGO,TIJERINA,H,21,5
373,TARCICIO,FERNANDEZ,COELLO,H,20,8
374,CRISTOBAL DE JESUS,DATTOLI,BLAZQUEZ,H,22,6
375,RODOLFO ARMANDO,LABARIEGA,TLALPA,H,20,4
376,MARTHA MONICA,VILLANA,,M,20,7
377,JUANA LILIA,CAAMAR,GENOVEZ,M,21,2
378,IVAN ENRIQUE,RAYAS,MONTANTE,H,18,6
379,JESUS LEOBARDO,CHIO,GALLOSO,H,20,2
380,JAIME ADRIAN,BADILLO,MAGLAH,H,21,9
381,MA. LETICIA,COAPANGO,ENCINOS,M,17,1
382,PEDRO RENE,BOCANEGRA,,H,18,10
383,HUGO GERARDO,BASTIAN,,H,20,5
384,ADELIN,OCAA,MUMULMEA,H,21,6
385,ANAYATZIN,MEMIJE,CONCHA,M,19,4
386,VICTORIA ADRIANA,CAHUA,PERUSQUIA,M,20,4
387,JESUS LORENZO,DE LA RIVA,BAILEY,H,18,5
388,PATRICIA MINERVA,DEL PORTE,ARRONA,M,20,7
389,CRISTINA ARACELI,VELIZ,,M,23,2
390,ROBISEL,BALBAS,NEMESIO,H,23,8
391,MANUEL ROBERTO,LICONA,NAEZ,H,19,11
392,NOELIA GUADALUPE,BRENA,BLANCARTE,M,21,8
393,VERONICA ROCIO,CHIQUINI,ACUNA,M,20,2
394,NEHEMIAS,MILAN,,H,22,1
395,GABRIEL ALFONSO,VIAN,NAZAR,H,20,4
396,MILTON,ALMUINA,,H,22,9
397,DAVID RICARDO,DEMETRIO,UTRILLA,H,22,10
398,PEDRO ARTURO,DE AVILA,NUEZ,H,21,7
399,RAFAEL,SANCHEZ,MILANES,M,22,10
400,MIRIAM,ALANIS,HIDROGO,M,19,1
401,JOSE AGUSTIN,PALEMONTE,MERA,H,20,8
402,MARCO IVAN,CHIW,BLAS,H,20,7
403,ISAIAS,CARNERO,TOACHE,M,21,10
404,MARIA RAMONA,DEGOLLADO,OLANO,M,16,8
405,GUADALUPE OMAR,DE LA ROSA,,H,20,2
406,JUAN ISMAEL,PIERRE,PAJARO,H,19,7
407,HILDA MARICELA,MUZA,PAREDES,M,19,11
408,IVAN EDUARDO,SANGERMAN,ANZO,H,15,5
409,LUIS MAURICIO,ZAYAGO,TOZAME,H,19,7
410,FANY,IGLESIAS,ROSTRO,M,20,9
411,JOSE EDGAR,VELIS,YOUNG,H,20,5
412,JORDAN,RABANALES,MOGOLLON,H,19,3
413,LAURENCIO,REBOLLOSO,,H,20,11
414,RENE SALVADOR,INDILI,CUECUECHA,H,20,2
415,ERIKA JANETTE,PANAL,BARILLAS,M,21,6
416,OCOTLAN,CARVAJAL,BOLOM,M,18,4
417,MARIO ALBER,TRUJILLO NARVAEZ,CHARREZ,H,17,6
418,NEREO,FENTANEZ,ANTILLON,H,20,8
419,FRANCISCO NICOLAS,TADEO,AMORES,H,21,8
420,PAOLA NOEMI,ALTAMIRANO,,M,17,8
421,ZANDRA,GALDINO,NANGULLASMU,M,19,5
422,HELIA,ASBELL,ANTUNA,M,21,5
423,YOLOXOCHITL,NARVAEZ,PEINADO,M,20,6
424,YURIDIA DEL CARMEN,SARABIA,TIJERINA,M,21,4
425,PATRICIA NOEMI,CAAS,,M,17,5
426,AMIR,CU,TACU,H,19,4
427,SAID,YAH,TOZAME,H,21,2
428,ENRRIQUETA,TEXTA,COLOTL,M,20,11
429,ALMA GEORGINA,ORRICO,ROVIROSA,M,21,5
430,MARIA,VIRTO,,M,19,9
431,SANTIAGO ALEJANDRO,BERNABE,GANDARA,H,20,5
432,XOCHITL AMERICA,LASCANO,BROWN,M,20,3
433,KARLA VERONICA,MONTEVERDE,HERRRERA,M,22,4
434,SIDRONIO,LOEZA,COCULA,H,21,9
435,MARTHA YADIRA,ANDAZOLA,,M,20,8
436,LOURDES DEL CARMEN,CARRASCO,Y LOPEZ,M,16,4
437,RUBY DEL CARMEN,FRESCAS,,M,19,10
438,ANTONIO FERNANDO,ROBINSON,GALA,H,19,3
439,DULCE YURIDIA,EZQUIVEL,MICHEL,M,22,5
440,MAYRA ALICIA,MILANES,MOREIDA,M,21,6
441,GERARDO FROYLAN,PUERTA,MACEDONIO,H,21,8
442,RAMON ALBERTO,PLATEROS,NARVAEZ,H,23,1
443,MARIA RUTH,GAMBINO,ELGUEA,M,20,10
444,GERVACIO,SALA,LOEZA,H,20,3
445,MA. CELIA,CUE,NATURI,M,18,5
446,RITA NOEMI,BERBER,UHU,M,19,6
447,ADRIANA LORENA,MARINA,V,M,19,1
448,DULCE ANAHI,VILLAGOMEZ,,M,22,8
449,MEDARDO,ACATECATL,TORIJA,H,25,9
450,FILEMON,RUZ,SEGOBIA,H,22,3
451,CARLOS GERARDO,CAICEROS,SIANUQUI,H,22,11
452,OLGA ISABEL,MONTERO,PINTADO,M,21,4
453,LORENA CONCEPCION,ARIZOCA,CERRITO,M,19,2
454,FCO JAVIER,Y MENDEZ,BULE,H,19,2
455,RICARDO NICOLAS,NAJAR,,H,20,7
456,OSCAR FRANCISCO,PEDRO,LONGORIA,H,18,6
457,JESUS ALONSO,LUCIANO,CLIMACO,H,21,9
458,DAVID ALONSO,LINARES,ESCAREO,H,18,4
459,JOEL ADRIAN,SAN JUAN,CANDIDO,H,18,7
460,MIGUEL ADOLFO,NEMER,FORTIS,H,24,5
461,OLGA ADRIANA,CABRERA,,M,18,7
462,ANALINA,NOVELA,FRAGOZO,M,20,10
463,HERVEY,LLERENA,GABIA,H,19,10
464,ROCIO YADIRA,TEMOLTZI,EGREMI,M,17,6
